operator_id,inbound_calls,outbound_calls,missed_calls,missed_rate,avg_wait,crit_missed_real,crit_wait,crit_outbound,score,is_inefficient_real,classification,wait_category,score_label,performance_level,missed_rate_pct,activity_type
900352,210.0,348.0,1.0,0.004761904761904762,59.049180327868854,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,0.48,Entrante y Saliente
900354,174.0,534.0,3.0,0.017241379310344827,56.58490566037736,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,1.72,Entrante y Saliente
900458,1.0,28.0,0.0,0.0,9.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900492,18.0,258.0,1.0,0.05555555555555555,16.375,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,5.56,Entrante y Saliente
900592,285.0,121.0,0.0,0.0,44.69767441860465,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900594,35.0,215.0,0.0,0.0,17.857142857142858,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900614,26.0,40.0,0.0,0.0,19.142857142857142,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900742,24.0,18.0,0.0,0.0,31.8,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900746,26.0,51.0,2.0,0.07692307692307693,55.54545454545455,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,7.69,Entrante y Saliente
900788,131.0,93.0,1.0,0.007633587786259542,19.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.76,Entrante y Saliente
900790,44.0,61.0,0.0,0.0,46.375,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900792,1.0,8.0,0.0,0.0,34.0,False,False,True,1,True,Ineficaz,<=52.4 s,1,Bueno,0.0,Entrante y Saliente
900826,99.0,549.0,0.0,0.0,21.18,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
900892,358.0,1023.0,3.0,0.008379888268156424,26.29032258064516,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.84,Entrante y Saliente
900894,114.0,228.0,1.0,0.008771929824561403,29.543478260869566,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.88,Entrante y Saliente
901034,13.0,12.0,0.0,0.0,15.9,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901038,5.0,33.0,0.0,0.0,28.5,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901178,329.0,29.0,0.0,0.0,89.0,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Entrante y Saliente
901350,111.0,0.0,0.0,0.0,76.72222222222223,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Solo Entrante
901492,39.0,3.0,0.0,0.0,31.366666666666667,False,False,True,1,True,Ineficaz,<=52.4 s,1,Bueno,0.0,Entrante y Saliente
901498,5.0,0.0,0.0,0.0,66.25,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Solo Entrante
901584,125.0,189.0,0.0,0.0,14.42,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901586,44.0,96.0,0.0,0.0,12.214285714285714,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901588,31.0,60.0,0.0,0.0,8.571428571428571,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901734,30.0,0.0,0.0,0.0,30.428571428571427,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Solo Entrante
901880,2062.0,2591.0,10.0,0.004849660523763337,90.40336134453781,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.48,Entrante y Saliente
901884,614.0,2232.0,1.0,0.0016286644951140066,81.03921568627452,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.16,Entrante y Saliente
901886,150.0,1636.0,0.0,0.0,54.339622641509436,False,True,False,1,True,Ineficaz,52.4-60 s,1,Bueno,0.0,Entrante y Saliente
901894,30.0,0.0,0.0,0.0,82.44444444444444,False,True,False,1,True,Ineficaz,60-120 s,1,Bueno,0.0,Solo Entrante
901992,13.0,817.0,0.0,0.0,13.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
901996,3.0,26.0,0.0,0.0,43.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902238,1.0,1.0,0.0,0.0,8.0,False,False,True,1,True,Ineficaz,<=52.4 s,1,Bueno,0.0,Entrante y Saliente
902510,137.0,1980.0,2.0,0.014598540145985401,159.32142857142858,False,True,False,1,True,Ineficaz,120-300 s,1,Bueno,1.46,Entrante y Saliente
902532,277.0,939.0,1.0,0.0036101083032490976,121.05405405405405,False,True,False,1,True,Ineficaz,120-300 s,1,Bueno,0.36,Entrante y Saliente
902608,14.0,219.0,0.0,0.0,23.5,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902720,105.0,2617.0,0.0,0.0,47.30555555555556,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902742,0.0,1232.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
902744,0.0,3457.0,0.0,0.0,0.0,False,False,False,0,False,Eficaz,<=52.4 s,0,Excelente,0.0,Entrante y Saliente
